,Unnamed: 0,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
130,130,135,"{('year', 'year_2'), ('mode', 1), ((('mode', 1),)",1,1,20021,70774,0.14581,0.7282853004345438,1.029029446455681,0.1061912796563608,1.0756134997178568,"(('year', 'year_2'),)","(('mode', 1),)","['mode,1', 'year,year_2']"
131,131,136,"{('year', 'year_3'), ('mode', 1), ((('mode', 1),)",1,1,20101,70774,0.14316,0.712203372966519,1.0063065150571102,0.1019590348738868,1.0155087708880304,"(('year', 'year_3'),)","(('mode', 1),)","['mode,1', 'year,year_3']"
133,133,138,"{('year', 'year_0'), ('popularity', 'popularity_0'), ((('popularity', 'popularity_0'),)",1,1,20101,20093,0.1763,0.8770707924978857,4.365056449996943,0.1546275807173772,6.5002452202908,"(('year', 'year_0'),)","(('popularity', 'popularity_0'),)","['popularity,popularity_0', 'year,year_0']"
134,134,139,"{('popularity', 'popularity_0'), ('year', 'year_0'), ((('year', 'year_0'),)",1,1,20093,20101,0.1763,0.8774199970138854,4.365056449996943,0.154689145473548,6.518110409675844,"(('popularity', 'popularity_0'),)","(('year', 'year_0'),)","['year,year_0', 'popularity,popularity_0']"
135,135,140,"{('year', 'year_1'), ('popularity', 'popularity_1'), ((('popularity', 'popularity_1'),)",1,1,19914,20332,0.12448,0.6250878778748619,3.0744042783536387,0.0778109390378628,2.1249779637936226,"(('year', 'year_1'),)","(('popularity', 'popularity_1'),)","['popularity,popularity_1', 'year,year_1']"
136,136,142,"{('year', 'year_4'), ('popularity', 'popularity_4'), ((('popularity', 'popularity_4'),)",1,1,19863,19570,0.12892,0.6490459648592861,3.316535333976935,0.0836750057896591,2.291753099193646,"(('year', 'year_4'),)","(('popularity', 'popularity_4'),)","['year,year_4', 'popularity,popularity_4']"
141,141,150,"{('acousticness', 'acousticness_2'), ('mode', 1), ('explicit', 0), ((('explicit', 0),)",2,1,14667,91483,0.13895,0.9473648326174404,1.0355638015996858,0.1316363434921933,1.618119645423626,"(('acousticness', 'acousticness_2'), ('mode', 1))","(('explicit', 0),)","['mode,1', 'explicit,0', 'acousticness,acousticness_2']"
142,142,153,"{('acousticness', 'acousticness_3'), ('instrumentalness', 'instrumentalness_0'), ('explicit', 0), ((('explicit', 0),)",2,1,8303,91483,0.08031,0.9672407563531252,1.0572901592133244,0.0776791051427195,2.5998767956368454,"(('acousticness', 'acousticness_3'), ('instrumentalness', 'instrumentalness_0'))","(('explicit', 0),)","['acousticness,acousticness_3', 'explicit,0', 'instrumentalness,instrumentalness_0']"
143,143,154,"{('acousticness', 'acousticness_3'), ('mode', 1), ('explicit', 0), ((('explicit', 0),)",2,1,14940,91483,0.14697,0.983734939759036,1.0753199389602834,0.1445795240963855,5.236377455837531,"(('acousticness', 'acousticness_3'), ('mode', 1))","(('explicit', 0),)","['mode,1', 'acousticness,acousticness_3', 'explicit,0']"
144,144,157,"{('acousticness', 'acousticness_3'), ('year', 'year_1'), ('explicit', 0), ((('explicit', 0),)",2,1,8372,91483,0.0837,0.9997611084567606,1.092838132174022,0.0836800047778308,356.520127606675,"(('acousticness', 'acousticness_3'), ('year', 'year_1'))","(('explicit', 0),)","['acousticness,acousticness_3', 'explicit,0', 'year,year_1']"
145,145,158,"{('energy', 'energy_0'), ('explicit', 0), ('acousticness', 'acousticness_4'), ((('acousticness', 'acousticness_4'),)",2,1,19107,19808,0.11819,0.6185691107970901,3.122824670825374,0.073108683205108,2.10239920414784,"(('energy', 'energy_0'), ('explicit', 0))","(('acousticness', 'acousticness_4'),)","['explicit,0', 'acousticness,acousticness_4', 'energy,energy_0']"
146,146,159,"{('acousticness', 'acousticness_4'), ('energy', 'energy_0'), ('explicit', 0), ((('explicit', 0),)",2,1,11827,91483,0.11819,0.9993235816352414,1.092359871927289,0.1181100541134691,125.91301260334605,"(('acousticness', 'acousticness_4'), ('energy', 'energy_0'))","(('explicit', 0),)","['acousticness,acousticness_4', 'explicit,0', 'energy,energy_0']"
